location,area,price,price_currency,status,new/resale,price_negotiable,description,facing,furnished,age of property,Lift(s),Full Power Backup,24 X 7 Security,Children's play area,Club House,Gymnasium,Swimming Pool,Sports Facility,Jogging Track,Landscaped Gardens,locality_score,project_score,builder_experience,Rain Water Harvesting,Car Parking,Vaastu Compliant,Golf Course,Intercom,Indoor Games,Maintenance Staff,Multipurpose Room,ATM,Cafeteria,Staff Quarter,Hospital,School,Shopping Mall
Kharadi,4600,50000000,INR,1.0,0,0,"A spacious 3 bhk villa is available for sale in Gera Developments GreensVille, Kharadi, Pune. It is facing west direction. It is a 2 year old ready-to-move-in property. It is made in way to provide a comfortable living for the residents. Please contact for more details. ",west,0,1,0,0,1,1,0,1,1,0,1,0,8.9,7.7,52.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wadgaon Sheri,4100,62500000,INR,1.0,0,0,"A 5 bhk property is available for sale in Kumar Builder Pune City, Wadgaon Sheri, Pune. It is a semi-furnished property. It is east facing property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is well connected to the city areas. Please contact for more details. ",east,0,8,1,1,0,1,1,1,1,1,0,0,9.3,8.118479669493832,123.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bavdhan,1700,17000000,INR,1.0,0,0,"A spacious 3 bhk villa is available for sale in Lantana Gardens, Bavdhan, Pune. It has an area of 1700 sqft . The property is available at a price of Rs. 1.70 cr . It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. If you are interested, please contact us for more details. ",unknown,0,0,1,0,0,0,0,0,0,0,0,0,8.1,8.044814201608972,188.15544658229172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Maval,1900,21000000,INR,0.0,1,0,"It’s a 3 bhk villa situated in Puraniks Builders Sayama Phase 4, Maval, Pune. It is a semi-furnished property. It is a ready-to-move-in property. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Contact us for more details. ",unknown,0,0,0,1,1,1,1,1,1,0,1,0,5.3,7.890633725463393,54.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Ravet,950,5000000,INR,0.0,1,0,"A spacious 2 bhk villa is available for sale in Legacy Groups Fortune Exotica, Ravet, Pune. The house is unfurnished. This residential complex is under-construction as of now. . It is made in way to provide a comfortable living. The site is in close proximity to various civic utilities. Contact us for more details. ",unknown,0,0,1,1,1,1,1,1,1,1,1,1,8.1,8.3,123.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Bibwewadi,2300,34000000,INR,1.0,0,0,"It’s a 4 bhk villa situated in Bibwewadi. It has a built-up area of 2300 sqft and is priced at Rs. 3.40 cr . The house is semi-furnished. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. The society is well connected by different modes of transportation. Please contact for more details. ",east,0,0,0,0,0,0,0,0,0,0,0,0,8.5,8.067478614902425,196.99799465594685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed wadi,6000,55000000,INR,0.0,0,0,This spacious 5 bhk villa is available for sale and is located in the heart of Mohammed wadi. It is an unfurnished property. It is north facing property. It is made in way to provide a comfortable living for the residents. Please contact us for more details. ,north,0,4,0,0,0,0,0,0,0,0,0,0,8.015749047339035,8.0400404713278,186.29270929935353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aundh,8300,200000000,INR,1.0,0,0,"A spacious 6 bhk villa is available for sale in Aundh, Pune. It is east facing property. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. Kindly call us for details. ",east,0,0,1,1,0,1,1,0,0,0,0,0,9.7,8.135471854782784,223.52563887691224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bavdhan,1700,15000000,INR,1.0,0,0,"It’s a 3 bhk villa situated in Bavdhan, Pune. It has a built-up area of 1700 sqft and is priced at Rs. 1.50 cr . It is an unfurnished property. It is facing west direction. This residential property is ready-to-move-in. It is made in way to provide a comfortable living. The society is well connected by different modes of transportation. If you are interested, please contact us for more details. ",west,0,0,0,1,0,0,0,0,0,0,0,0,8.1,8.044814201608972,188.15544658229172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kothrud,1800,21000000,INR,0.0,0,0,"It is a furnished property. Its main door is facing east direction. This residential property is ready-to-move-in. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. It is situated in the proximity of all the important facilities. Kindly call us for details. ",east,1,0,0,1,0,1,1,0,0,0,0,0,9.2,8.107141338165968,212.4724537848433,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
